id,alias,name,image_url,url,review_count,categories_0_alias,coordinates_latitude,coordinates_longitude,price,location_city,location_zip_code,location_country,location_state,location_display_address_0,wifi,credit_card,noise_level,rolled_amount,selected_amount
vJaF4HdnmSVF_V0BjeKjtg,blue-bottle-coffee-san-francisco-10,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/Mrk3g0YcMN25gakI3PaLiQ/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-10?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1517,coffee,37.79604481,-122.39381,$,San Francisco,94111,US,CA,1 Ferry Building,,,,0,0
Av-PbVkajf1XrgqIS8POSQ,stella-pastry-and-cafe-san-francisco,Stella Pastry & Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/vEpKKec_SjFXWU6TOEp66Q/o.jpg,https://www.yelp.com/biz/stella-pastry-and-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1312,bakeries,37.79918,-122.40828,$,San Francisco,94133,US,CA,446 Columbus Ave,,,,0,0
yn5gA62ekL-TzKBBI_rq-A,boba-guys-san-francisco-6,Boba Guys,https://s3-media4.fl.yelpcdn.com/bphoto/tY1HyU-Rzz0usQ7vqQ8kVQ/o.jpg,https://www.yelp.com/biz/boba-guys-san-francisco-6?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1986,coffee,37.7899434,-122.4073063,$,San Francisco,94108,US,CA,429 Stockton St,,,,0,0
vVN_oVe6jvr4PCmXg_m9CA,hollywood-cafe-san-francisco,Hollywood Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/vgogPlQi_PvbzgJJLn-K3A/o.jpg,https://www.yelp.com/biz/hollywood-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2096,breakfast_brunch,37.8065799,-122.41584,$$,San Francisco,94133,US,CA,530 north Point St,,,,0,0
qkHlhvv6DrCkvY54ogcPiA,xox-truffles-san-francisco,XOX Truffles,https://s3-media4.fl.yelpcdn.com/bphoto/YC1OatOZvEIKFkml_VfWgQ/o.jpg,https://www.yelp.com/biz/xox-truffles-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,630,chocolate,37.80175,-122.41206,$,San Francisco,94133,US,CA,754 Columbus Ave,,,,0,0
uzqUJiCHUqV2c3PnvSsqeQ,caffe-greco-san-francisco,Caffe Greco,https://s3-media1.fl.yelpcdn.com/bphoto/s16rPkn94x6xCeJcYzipoQ/o.jpg,https://www.yelp.com/biz/caffe-greco-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1019,coffee,37.798918,-122.4084483,$,San Francisco,94133,US,CA,423 Columbus Ave,yes,no,average,0,0
U9HWtltvf_U2y1wYSOwFUA,fresh-brew-coffee-san-francisco,Fresh Brew Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/SlLWGAvf2uyQ94KFUh4k_Q/o.jpg,https://www.yelp.com/biz/fresh-brew-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,576,coffee,37.79001,-122.41177,$,San Francisco,94108,US,CA,882 Bush St,,,,0,0
kK0s7FAovaLmVDM4D_NdSQ,good-luck-cafe-and-deli-san-francisco,Good Luck Cafe and Deli,https://s3-media3.fl.yelpcdn.com/bphoto/7diLgtddAjlrYm_62uLvUQ/o.jpg,https://www.yelp.com/biz/good-luck-cafe-and-deli-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,405,delis,37.793838,-122.404846,$,San Francisco,94108,US,CA,621 Kearny St,,,,0,0
QQwsy-M3O5w6FSPaVFJ3uQ,brioche-bakery-and-cafe-san-francisco,Brioche Bakery & Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/X5F4PFI7dxSNkQmvtRK-Jw/o.jpg,https://www.yelp.com/biz/brioche-bakery-and-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,503,bakeries,37.7973133,-122.4055275,$$,San Francisco,94133,US,CA,210 Columbus Ave,yes,yes,average,0,0
XUOaN3QKGTBkNf3CMuztYg,vital-tea-leaf-san-francisco,Vital Tea Leaf,https://s3-media3.fl.yelpcdn.com/bphoto/_jNJRI6uuNf3kphAuORY4Q/o.jpg,https://www.yelp.com/biz/vital-tea-leaf-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,337,coffee,37.79661,-122.40659,$$,San Francisco,94133,US,CA,1044 Grant Ave,,,,0,0
