id,alias,name,image_url,is_closed,url,review_count,categories_0_alias,categories/0/title,rating,coordinates_latitude,coordinates/longitude,transactions/0,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,transactions/1,WiFi,Credit Card,Noise Level,Include?
akXf1BdFZjQb2fO8Ca7FtA,philz-coffee-san-francisco,Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/rRrJD3FCGIph5ok16ebfWw/o.jpg,FALSE,https://www.yelp.com/biz/philz-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1673,coffee,Coffee & Tea,breakfast_brunch,Breakfast & Brunch,4.5,37.7524,-122.414,delivery,$,3101 24th St,,,San Francisco,94110,US,CA,3101 24th St,"San Francisco, CA 94110",1.42E+10,(415) 875-9370,2167.283,,,,,Yes,Yes,Yes,Average
PrlH7YcQ22m9DyuWbxJjMA,anthonys-cookies-san-francisco-2,Anthony's Cookies,https://s3-media1.fl.yelpcdn.com/bphoto/6ZXuANt_JBmtSeAHbG5sYQ/o.jpg,FALSE,https://www.yelp.com/biz/anthonys-cookies-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1676,bakeries,Bakeries,coffee,Coffee & Tea,4.5,37.7502,-122.42,delivery,$,1417 Valencia St,,,San Francisco,94110,US,CA,1417 Valencia St,"San Francisco, CA 94110",1.42E+10,(415) 655-9834,1846.774,,,,,No,,,
IJk76B-pTta_klpAZcpQdA,lous-cafe-san-francisco,Lou's Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/UgwBr0vhX6fSNT_ILMeJvg/o.jpg,FALSE,https://www.yelp.com/biz/lous-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1495,coffee,Coffee & Tea,sandwiches,Sandwiches,4.5,37.78045,-122.473,delivery,$$,5017 Geary Blvd,,,San Francisco,94118,US,CA,5017 Geary Blvd,"San Francisco, CA 94118",1.42E+10,(415) 379-4429,3901.673,salad,Salad,pickup,,No,,,
b-ylC7pGKuh4yw6l1Q1k9g,golden-bear-trading-company-san-francisco-3,Golden Bear Trading Company,https://s3-media1.fl.yelpcdn.com/bphoto/-JxDL4oUYGu_c5cE6U4KBg/o.jpg,FALSE,https://www.yelp.com/biz/golden-bear-trading-company-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1228,coffee,Coffee & Tea,beer_and_wine,"Beer, Wine & Spirits",4.5,37.76216,-122.463,,$$,1401 6th Ave,,,San Francisco,94122,US,CA,1401 6th Ave,"San Francisco, CA 94122",1.42E+10,(415) 664-5574,2349.662,gourmet,Specialty Food,,,No,,,
EFefgQdk_19WxQXvVtwEog,blue-bottle-coffee-san-francisco-8,Blue Bottle Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/7Yklx9jkwBwLAjBO4Q1Kzg/o.jpg,FALSE,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-8?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1674,coffee,Coffee & Tea,,,4.5,37.77638,-122.423,delivery,$$,315 Linden St,,,San Francisco,94102,US,CA,315 Linden St,"San Francisco, CA 94102",1.51E+10,(510) 653-3394,2077.661,,,,,No,,,
lNbKeOfCMTNkoihZHqrbrg,blue-bottle-coffee-san-francisco-21,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/mjMHObH17E2NykWJufuVSg/o.jpg,FALSE,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-21?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2236,coffee,Coffee & Tea,,,4,37.78247,-122.408,delivery,$$,66 Mint St,,,San Francisco,94103,US,CA,66 Mint St,"San Francisco, CA 94103",1.51E+10,(510) 653-3394,3480.199,,,,,Yes,No,Yes,Loud
hWE2CDphzZ3nXlwv3Uk6Og,philz-coffee-san-francisco-3,Philz Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/WA_70rUbeEPWPH2BYUr19g/o.jpg,FALSE,https://www.yelp.com/biz/philz-coffee-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1405,coffee,Coffee & Tea,breakfast_brunch,Breakfast & Brunch,4.5,37.77566,-122.393,delivery,$,201 Berry St,,,San Francisco,94158,US,CA,201 Berry St,"San Francisco, CA 94158",1.42E+10,(415) 875-9943,4120.437,,,,,Yes,Yes,Yes,Average
t0MUKjSjCaQeXHTGQlfosg,home-coffee-roasters-san-francisco,Home Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/rTJkrhU1pnjT-Yk5hWk7Tg/o.jpg,FALSE,https://www.yelp.com/biz/home-coffee-roasters-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1124,coffee,Coffee & Tea,,,4.5,37.75445,-122.477,delivery,$,1222 Noriega St,,,San Francisco,94122,US,CA,1222 Noriega St,"San Francisco, CA 94122",1.42E+10,(415) 683-5943,3637.584,,,pickup,,Yes,Yes,Yes,Average
wsPDEO08w_lH0x123_YEXg,philz-coffee-san-francisco-2,Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/MqBug6bHw33uQhlh98FExA/o.jpg,FALSE,https://www.yelp.com/biz/philz-coffee-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1055,coffee,Coffee & Tea,breakfast_brunch,Breakfast & Brunch,4.5,37.76013,-122.435,delivery,$,549 Castro St,,,San Francisco,94114,US,CA,549 Castro St,"San Francisco, CA 94114",1.42E+10,(415) 875-9656,161.2169,,,,,Yes,Yes,Yes,Average
yn5gA62ekL-TzKBBI_rq-A,boba-guys-san-francisco-6,Boba Guys,https://s3-media4.fl.yelpcdn.com/bphoto/tY1HyU-Rzz0usQ7vqQ8kVQ/o.jpg,FALSE,https://www.yelp.com/biz/boba-guys-san-francisco-6?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1986,coffee,Coffee & Tea,bubbletea,Bubble Tea,4,37.78994,-122.407,delivery,$,429 Stockton St,,,San Francisco,94108,US,CA,429 Stockton St,"San Francisco, CA 94108",1.42E+10,(415) 967-2622,4121.855,desserts,Desserts,,,No,,,
